,first,second,AB,A~B,~AB,~A~B,chisquare,percentDependence
11890,flatline,tag,15,60,56,994,23.04627695,11.45038168
12023,flow,discharge_flow,6,65,0,1054,74.32644452,8.450704225
12070,flow,flow,71,0,0,1054,1108.151129,100
12315,flow,valve_position,8,63,33,1021,10.3309622,7.692307692
12469,flow_increased,flow_increased,11,0,0,1114,1024.087909,100
12534,flow_increased,increase,11,0,330,784,22.31700555,3.225806452
14065,flue_gas,flue_gas,9,0,0,1116,1002.520387,100
14076,flue_gas,gas,6,3,36,1080,83.1085267,13.33333333
14200,flue_gas,outlet_temp,6,3,29,1087,101.2505351,15.78947368
14281,flue_gas,temperature,7,2,368,748,6.174395161,1.856763926
14863,fuel,fuel,21,0,0,1104,1071.071798,100
15006,fuel,pressure,8,13,137,967,9.930025962,5.063291139
15262,fuel_gas,fuel_gas,7,0,0,1118,969.0913498,100
15581,fuel_gas_control,control_valve,6,0,9,1110,374.1627645,40
15661,fuel_gas_control,fuel_gas_control,6,0,0,1119,944.3911428,100
15670,fuel_gas_control,gas_control_valve,6,0,0,1119,944.3911428,100
15896,fuel_gas_control,valve,6,0,47,1072,101.6021141,11.32075472
18055,fwp,fwp,7,0,0,1118,969.0913498,100
18190,fwp,pressure,6,1,139,979,27.06572093,4.109589041
18443,gas,flue_gas,6,36,3,1080,83.1085267,13.33333333
18454,gas,gas,42,0,0,1083,1097.34755,100
18547,gas,model,13,29,181,902,4.790263867,5.829596413
18578,gas,outlet_temp,7,35,28,1055,22.12980949,10
19163,gas_control_valve,control_valve,6,0,9,1110,374.1627645,40
19243,gas_control_valve,fuel_gas_control,6,0,0,1119,944.3911428,100
19252,gas_control_valve,gas_control_valve,6,0,0,1119,944.3911428,100
19478,gas_control_valve,valve,6,0,47,1072,101.6021141,11.32075472
20050,gas_inlet,gas_inlet,7,0,0,1118,969.0913498,100
20848,gas_outlet_temp,gas_outlet_temp,10,0,0,1115,1014.354206,100
20966,gas_outlet_temp,outlet_temp,10,0,25,1090,282.6273314,28.57142857
21047,gas_outlet_temp,temperature,9,1,366,749,12.12023543,2.393617021
22045,gas_spread,gas_spread,6,0,0,1119,944.3911428,100
22444,gas_temperature,gas_temperature,9,0,0,1116,1002.520387,100
22484,gas_temperature,increase,7,2,334,782,7.544384076,2.040816327
22843,gas_turbine,gas_turbine,17,0,0,1108,1058.811462,100
23037,gas_turbine,temperature,11,6,364,744,6.278701688,2.887139108
24040,gearbox,gearbox,11,0,0,1114,1024.087909,100
24262,gearbox,vibration,6,5,117,997,17.4102474,4.6875
24297,gen_bearing,bearing,9,0,145,971,50.07728209,5.844155844
24439,gen_bearing,gen_bearing,9,0,0,1116,1002.520387,100
24474,gen_bearing,increase,6,3,335,781,4.074430118,1.744186047
24838,generator,generator,25,0,0,1100,1079.44796,100
27631,h2_gas,h2_gas,7,0,0,1118,969.0913498,100
28030,h2_purity,h2_purity,7,0,0,1118,969.0913498,100
30256,high,ambient,8,135,14,968,9.244095103,5.095541401
30267,high,bearing,28,115,126,856,4.258498074,10.40892193
30274,high,bearing_vibration,13,130,28,954,12.11899479,7.602339181
30296,high,compressor,8,135,21,961,4.639938858,4.87804878
30327,high,differential_pressure,6,137,9,973,7.863046003,3.947368421
30424,high,high,143,0,0,982,1116.005297,100
30487,high,model,42,101,152,830,15.92083088,14.23728814
30502,high,normal,8,135,16,966,7.596287056,5.031446541
30503,high,nox,6,137,6,976,11.99319947,4.026845638
30534,high,pump,9,134,26,956,4.36178053,5.325443787
30545,high,reading,19,124,62,920,8.070042612,9.268292683
30569,high,spike,15,128,24,958,21.79993092,8.982035928
30575,high,stage,16,127,32,950,17.32549278,9.142857143
30599,high,temperature,67,76,308,674,12.78709516,14.85587583
30630,high,vibration,34,109,89,893,26.25786775,14.65517241
34414,hrsg,hrsg,15,0,0,1110,1050.270499,100
34429,hrsg,inlet_gas,7,8,1,1109,391.1603856,43.75
36409,hrsg_outlet,hrsg_outlet,6,0,0,1119,944.3911428,100
37036,ib_bearing_temp,bearing_metal_temp,12,7,120,986,44.42706177,8.633093525
37039,ib_bearing_temp,bearing_temperature_increased,6,13,15,1091,77.37265535,17.64705882
37132,ib_bearing_temp,fan_ib_bearing,6,13,5,1101,156.1530192,25
37207,ib_bearing_temp,ib_bearing_temp,19,0,0,1106,1065.578378,100
37271,ib_bearing_temp,ob_bearing_temp,11,8,12,1094,273.3224806,35.48387097
37364,ib_bearing_temp,temp_increased,7,12,55,1051,30.56871494,9.459459459
37365,ib_bearing_temp,temperature,11,8,364,742,4.182479537,2.872062663
38227,increase,bearing,64,277,90,694,10.07732022,14.84918794
38232,increase,bearing_temp_increased,7,334,0,784,13.04496397,2.052785924
38233,increase,bearing_temperature_increased,21,320,0,784,45.89547825,6.158357771
38259,increase,condct,6,335,2,782,5.635930002,1.749271137
38270,increase,cooler,10,331,8,776,4.371085419,2.865329513
38271,increase,cooling,6,335,0,784,10.7501884,1.759530792
38295,increase,drain_temp_increased,7,334,0,784,13.04496397,2.052785924
38300,increase,drop,7,334,40,744,4.784006847,1.837270341
38313,increase,erratic,8,333,70,714,14.95376551,1.946472019
38337,increase,flatline,10,331,65,719,10.12106426,2.463054187
38339,increase,flow_increased,11,330,0,784,22.31700555,3.225806452
38364,increase,gas_temperature,7,334,2,782,7.544384076,2.040816327
38369,increase,gen_bearing,6,335,3,781,4.074430118,1.744186047
38404,increase,increase,341,0,0,784,1120.270911,100
38413,increase,inlet_temperature,6,335,3,781,4.074430118,1.744186047
38444,increase,metal_temp_increased,8,333,1,783,12.07483741,2.339181287
38445,increase,mill,11,330,8,776,5.696366867,3.151862464
38447,increase,model,41,300,153,631,8.828896345,8.299595142
38448,increase,motor,17,324,18,766,4.844924473,4.735376045
38451,increase,motor_ib_bearing,7,334,2,782,7.544384076,2.040816327
38463,increase,nox,9,332,3,781,9.428871458,2.61627907
38464,increase,ob_bearing,9,332,6,778,4.999191307,2.593659942
38488,increase,pressure,31,310,114,670,5.810443267,6.813186813
38490,increase,pressure_increased,12,329,0,784,24.65190265,3.519061584
38505,increase,reading,14,327,67,717,6.363654139,3.431372549
38535,increase,stage,7,334,41,743,5.119485049,1.832460733
38558,increase,temp_increased,61,280,1,783,140.5666807,17.83625731
38588,increase,vib_increased,6,335,0,784,10.7501884,1.759530792
38592,increase,vibration_increased,26,315,0,784,57.86075203,7.624633431
38803,inlet,inlet,36,0,0,1089,1092.948541,100
38957,inlet,temperature,22,14,353,736,11.65418388,5.655526992
39432,inlet_bleed_heat,bleed_heat_vlv,9,0,2,1114,818.5995759,81.81818182
39480,inlet_bleed_heat,differential,6,3,19,1097,144.800449,21.42857143
39601,inlet_bleed_heat,inlet_bleed_heat,9,0,0,1116,1002.520387,100
39776,inlet_bleed_heat,valve,7,2,46,1070,92.1118996,12.72727273
699,recirc_valve,recirc_valve,6,0,0,1119,944.3911428,100
3396,resolved,issue,12,4,25,1084,240.0422792,29.26829268
3492,resolved,resolved,16,0,0,1109,1054.803635,100
3891,rotor,rotor,8,0,0,1117,987.8255423,100
5487,seal_oil,seal_oil,6,0,0,1119,944.3911428,100
5886,seismic_vibration,seismic_vibration,6,0,0,1119,944.3911428,100
6788,shaft,bearing_metal_temp,6,10,126,983,8.034143951,4.225352113
7083,shaft,shaft,16,0,0,1109,1054.803635,100
7183,shift,bearing,6,3,148,968,17.26870355,3.821656051
7482,shift,shift,9,0,0,1116,1002.520387,100
7881,silica,silica,14,0,0,1111,1045.101597,100
8463,spike,erratic,7,32,71,1015,5.931632802,6.363636364
8534,spike,high,15,24,128,958,21.79993092,8.982035928
8679,spike,spike,39,0,0,1086,1095.316365,100
8740,spike,vibration,20,19,103,983,63.31873504,14.08450704
10831,stage,discharge_temperature,7,41,14,1063,37.30856214,11.29032258
10922,stage,high,16,32,127,950,17.32549278,9.142857143
10942,stage,increase,7,41,334,743,5.119485049,1.832460733
11073,stage,stage,48,0,0,1077,1100.651125,100
11085,stage,suction,8,40,5,1072,91.90490177,15.09433962
11097,stage,temperature,24,24,351,726,5.508465355,6.015037594
11472,start_up,start_up,13,0,0,1112,1039.153188,100
11871,stator,stator,6,0,0,1119,944.3911428,100
12270,stator_temp,stator_temp,12,0,0,1113,1032.234686,100
12291,stator_temp,temperature,8,4,367,746,4.643278302,2.110817942
13068,steam,steam,8,0,0,1117,987.8255423,100
14265,steam_temp,steam_temp,6,0,0,1119,944.3911428,100
14281,steam_temp,temperature,6,0,369,750,9.236762735,1.6
15063,stepped_up,stepped_up,9,0,0,1116,1002.520387,100
15849,suction,stage,8,5,40,1072,91.90490177,15.09433962
15861,suction,suction,13,0,0,1112,1039.153188,100
16200,suction_pressure,pressure,6,0,139,980,33.34203513,4.137931034
16260,suction_pressure,suction_pressure,6,0,0,1119,944.3911428,100
16659,suction_temperature,suction_temperature,7,0,0,1118,969.0913498,100
16669,suction_temperature,temperature,7,0,368,750,11.23059353,1.866666667
17771,supply,oil,7,3,23,1092,151.0386272,21.21212121
17856,supply,supply,10,0,0,1115,1014.354206,100
17863,supply,temperature,10,0,365,750,17.26597534,2.666666667
18190,supply_pressure,pressure,7,0,138,980,40.1194484,4.827586207
18255,supply_pressure,supply_pressure,7,0,0,1118,969.0913498,100
19053,system,system,6,0,0,1119,944.3911428,100
19233,tag,flatline,15,56,60,994,23.04627695,11.45038168
19354,tag,nan,12,59,14,1040,64.72366324,14.11764706
19452,tag,tag,71,0,0,1054,1108.151129,100
19472,tag,turbine,8,63,40,1014,7.356076671,7.207207207
19524,temp_decreased,bearing_metal_temp,9,11,123,982,18.6107124,6.293706294
19851,temp_decreased,temp_decreased,20,0,0,1105,1068.460708,100
19919,temp_increased,bearing,15,47,139,924,5.223468979,7.462686567
19922,temp_increased,bearing_metal_temp,18,44,114,949,17.23313866,10.22727273
